activity,project,workers,duration,time,duration_seconds,start_time,end_time
trello grooming,SURVEY MONKEY,Steve Jobs,0:00:10,10:27am September 20th - 10:27am September 20th,10,2019-09-20T10:27:21+05:45,2019-09-20T10:27:31+05:45
trello grooming,SURVEY MONKEY,Steve Jobs,0:01:54,09:25am September 20th - 09:27am September 20th,114,2019-09-20T09:25:16+05:45,2019-09-20T09:27:10+05:45
"As a super admin, I would like to know when a Business trial account will expire and also filter/sort by trial expiration date.",SURVEY MONKEY,Sagun Karanjit,3:00:00,08:54pm September 19th - 11:54pm September 19th,10800,2019-09-19T20:54:03+05:45,2019-09-19T23:54:03+05:45
merge new features to develop,SURVEY MONKEY,Steve Jobs,2:07:35,10:30am September 19th - 12:38pm September 19th,7655,2019-09-19T10:30:27+05:45,2019-09-19T12:38:02+05:45
"As a super admin, I would like to know when a Business trial account will expire and also filter/sort by trial expiration date.",SURVEY MONKEY,Sagun Karanjit,4:00:00,08:53pm September 18th - 12:53am September 19th,14400,2019-09-18T20:53:53+05:45,2019-09-19T00:53:53+05:45
List Component,SURVEY MONKEY,Sagun Karanjit,4:00:00,08:49pm September 18th - 12:49am September 19th,14400,2019-09-18T20:49:31+05:45,2019-09-19T00:49:31+05:45
As a business user I should have my own email report configurations,SURVEY MONKEY,Mausam Khanal,0:13:47,06:08pm September 18th - 06:22pm September 18th,827,2019-09-18T18:08:38+05:45,2019-09-18T18:22:25+05:45
sound meeting,KAHOOT,Steve Jobs,0:29:10,06:06pm September 18th - 06:35pm September 18th,1750,2019-09-18T18:06:28+05:45,2019-09-18T18:35:38+05:45
prepare for sound meeting,KAHOOT,Steve Jobs,0:30:07,05:36pm September 18th - 06:06pm September 18th,1807,2019-09-18T17:36:21+05:45,2019-09-18T18:06:28+05:45
As a business user I should have my own email report configurations,SURVEY MONKEY,Mausam Khanal,1:00:10,05:08pm September 18th - 06:08pm September 18th,3610,2019-09-18T17:08:28+05:45,2019-09-18T18:08:38+05:45
As a business user I should have my own email report configurations,SURVEY MONKEY,Mausam Khanal,0:30:08,04:38pm September 18th - 05:08pm September 18th,1808,2019-09-18T16:38:20+05:45,2019-09-18T17:08:28+05:45
provision triviaday.net domain emails,KAHOOT,Steve Jobs,1:15:59,01:21pm September 18th - 02:37pm September 18th,4559,2019-09-18T13:21:09+05:45,2019-09-18T14:37:08+05:45
provision triviaday.net,KAHOOT,Steve Jobs,0:00:10,01:20pm September 18th - 01:21pm September 18th,10,2019-09-18T13:20:57+05:45,2019-09-18T13:21:07+05:45
dump database from heroku,KAHOOT,Steve Jobs,0:17:25,01:03pm September 18th - 01:20pm September 18th,1045,2019-09-18T13:03:32+05:45,2019-09-18T13:20:57+05:45
migrate to production server,KAHOOT,Steve Jobs,2:00:13,11:03am September 18th - 01:03pm September 18th,7213,2019-09-18T11:03:19+05:45,2019-09-18T13:03:32+05:45
go through comments in trello,SURVEY MONKEY,Steve Jobs,0:25:27,10:37am September 18th - 11:03am September 18th,1527,2019-09-18T10:37:50+05:45,2019-09-18T11:03:17+05:45
"As a super admin, I would like to know when a Business trial account will expire and also filter/sort by trial expiration date.",SURVEY MONKEY,Sagun Karanjit,3:00:00,08:52pm September 17th - 11:52pm September 17th,10800,2019-09-17T20:52:15+05:45,2019-09-17T23:52:15+05:45
,SURVEY MONKEY,Mausam Khanal,0:00:00,05:49pm September 17th - 05:49pm September 17th,0,2019-09-17T17:49:03+05:45,2019-09-17T17:49:03+05:45
,SURVEY MONKEY,Mausam Khanal,0:03:23,05:45pm September 17th - 05:49pm September 17th,203,2019-09-17T17:45:39+05:45,2019-09-17T17:49:02+05:45
sprint planning,KAHOOT,Steve Jobs,0:46:19,05:43pm September 17th - 06:29pm September 17th,2779,2019-09-17T17:43:27+05:45,2019-09-17T18:29:46+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,0:59:12,01:15pm September 17th - 02:14pm September 17th,3552,2019-09-17T13:15:25+05:45,2019-09-17T14:14:37+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:21:36,12:53pm September 17th - 01:15pm September 17th,1296,2019-09-17T12:53:49+05:45,2019-09-17T13:15:25+05:45
prepare for sprint planning,KAHOOT,Steve Jobs,0:54:04,11:59am September 17th - 12:53pm September 17th,3244,2019-09-17T11:59:42+05:45,2019-09-17T12:53:46+05:45
migrate database to own server,KAHOOT,Steve Jobs,1:41:46,10:17am September 17th - 11:59am September 17th,6106,2019-09-17T10:17:56+05:45,2019-09-17T11:59:42+05:45
Admin should be able to remove a dashboard component,SURVEY MONKEY,Sagun Karanjit,2:30:00,08:49pm September 16th - 11:19pm September 16th,9000,2019-09-16T20:49:08+05:45,2019-09-16T23:19:08+05:45
backlog grooming,KAHOOT,Steve Jobs,0:51:45,06:17pm September 16th - 07:09pm September 16th,3105,2019-09-16T18:17:38+05:45,2019-09-16T19:09:23+05:45
estimate time freezer,KAHOOT,Steve Jobs,1:00:12,05:17pm September 16th - 06:17pm September 16th,3612,2019-09-16T17:17:26+05:45,2019-09-16T18:17:38+05:45
prepare for backlog grooming,KAHOOT,Steve Jobs,1:10:51,11:02am September 16th - 12:12pm September 16th,4251,2019-09-16T11:02:06+05:45,2019-09-16T12:12:57+05:45
deploy to new server,KAHOOT,Steve Jobs,0:10:14,10:43am September 16th - 10:53am September 16th,614,2019-09-16T10:43:26+05:45,2019-09-16T10:53:40+05:45
prepare for backlog grooming,KAHOOT,Steve Jobs,0:10:29,10:32am September 16th - 10:43am September 16th,629,2019-09-16T10:32:56+05:45,2019-09-16T10:43:25+05:45
fix dashboard issue,SURVEY MONKEY,Steve Jobs,0:00:05,10:32am September 16th - 10:32am September 16th,5,2019-09-16T10:32:50+05:45,2019-09-16T10:32:55+05:45
fix dashboard issue,SURVEY MONKEY,Steve Jobs,0:14:56,10:17am September 16th - 10:32am September 16th,896,2019-09-16T10:17:52+05:45,2019-09-16T10:32:48+05:45
Admin should be able to remove a dashboard component,SURVEY MONKEY,Sagun Karanjit,7:00:00,08:47am September 15th - 03:47pm September 15th,25200,2019-09-15T08:47:48+05:45,2019-09-15T15:47:48+05:45
"As a business admin, I should not see Survey Templates that don't contain questions",SURVEY MONKEY,Sagun Karanjit,3:00:00,08:47pm September 14th - 11:47pm September 14th,10800,2019-09-14T20:47:11+05:45,2019-09-14T23:47:11+05:45
test dashboard fix,SURVEY MONKEY,Steve Jobs,0:17:53,06:25am September 14th - 06:43am September 14th,1073,2019-09-14T06:25:21+05:45,2019-09-14T06:43:14+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:14:13,06:11am September 14th - 06:25am September 14th,853,2019-09-14T06:11:04+05:45,2019-09-14T06:25:17+05:45
Dashboard is crashing for new business user,SURVEY MONKEY,Sagun Karanjit,2:00:00,08:45pm September 13th - 10:45pm September 13th,7200,2019-09-13T20:45:02+05:45,2019-09-13T22:45:02+05:45
Menu for business users needs redesign,SURVEY MONKEY,Mausam Khanal,0:17:29,03:11pm September 13th - 03:29pm September 13th,1049,2019-09-13T15:11:57+05:45,2019-09-13T15:29:26+05:45
Menu for business users needs redesign,SURVEY MONKEY,Mausam Khanal,0:30:06,02:41pm September 13th - 03:11pm September 13th,1806,2019-09-13T14:41:51+05:45,2019-09-13T15:11:57+05:45
746-send-trial-account-info-with-business,SURVEY MONKEY,Steve Jobs,1:08:22,07:46am September 13th - 08:55am September 13th,4102,2019-09-13T07:46:59+05:45,2019-09-13T08:55:21+05:45
778-send active surveys with survey categories,SURVEY MONKEY,Steve Jobs,0:32:29,07:14am September 13th - 07:46am September 13th,1949,2019-09-13T07:14:30+05:45,2019-09-13T07:46:59+05:45
send active surveys with survey categories,SURVEY MONKEY,Steve Jobs,0:00:30,07:14am September 13th - 07:14am September 13th,30,2019-09-13T07:14:00+05:45,2019-09-13T07:14:30+05:45
fix issues in staging,SURVEY MONKEY,Steve Jobs,0:55:42,06:18am September 13th - 07:13am September 13th,3342,2019-09-13T06:18:16+05:45,2019-09-13T07:13:58+05:45
,SURVEY MONKEY,Sagun Karanjit,2:00:00,08:51pm September 12th - 10:51pm September 12th,7200,2019-09-12T20:51:17+05:45,2019-09-12T22:51:17+05:45
fix issues in staging,SURVEY MONKEY,Steve Jobs,1:18:00,05:58pm September 12th - 07:16pm September 12th,4680,2019-09-12T17:58:43+05:45,2019-09-12T19:16:43+05:45
Menu for business users needs redesign,SURVEY MONKEY,Mausam Khanal,1:02:31,05:33pm September 12th - 06:36pm September 12th,3751,2019-09-12T17:33:38+05:45,2019-09-12T18:36:09+05:45
review merge request,SURVEY MONKEY,Steve Jobs,0:26:59,05:31pm September 12th - 05:58pm September 12th,1619,2019-09-12T17:31:43+05:45,2019-09-12T17:58:42+05:45
test merge request,SURVEY MONKEY,Steve Jobs,0:07:00,05:24pm September 12th - 05:31pm September 12th,420,2019-09-12T17:24:43+05:45,2019-09-12T17:31:43+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,0:36:54,04:47pm September 12th - 05:24pm September 12th,2214,2019-09-12T16:47:48+05:45,2019-09-12T17:24:42+05:45
Menu for business users needs redesign,SURVEY MONKEY,Mausam Khanal,0:37:42,04:35pm September 12th - 05:13pm September 12th,2262,2019-09-12T16:35:26+05:45,2019-09-12T17:13:08+05:45
rewrite codes for events,SURVEY MONKEY,Steve Jobs,0:20:15,04:27pm September 12th - 04:47pm September 12th,1215,2019-09-12T16:27:33+05:45,2019-09-12T16:47:48+05:45
Menu for business users needs redesign,SURVEY MONKEY,Mausam Khanal,0:08:38,04:20pm September 12th - 04:29pm September 12th,518,2019-09-12T16:20:59+05:45,2019-09-12T16:29:37+05:45
Menu for business users needs redesign,SURVEY MONKEY,Mausam Khanal,0:16:50,03:56pm September 12th - 04:13pm September 12th,1010,2019-09-12T15:56:20+05:45,2019-09-12T16:13:10+05:45
test routing changes,SURVEY MONKEY,Steve Jobs,0:14:42,01:13pm September 12th - 01:27pm September 12th,882,2019-09-12T13:13:16+05:45,2019-09-12T13:27:58+05:45
reset password,SURVEY MONKEY,Steve Jobs,2:06:28,09:46am September 12th - 11:53am September 12th,7588,2019-09-12T09:46:52+05:45,2019-09-12T11:53:20+05:45
reset password,SURVEY MONKEY,Steve Jobs,1:47:48,07:10am September 12th - 08:58am September 12th,6468,2019-09-12T07:10:45+05:45,2019-09-12T08:58:33+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:31:52,06:38am September 12th - 07:10am September 12th,1912,2019-09-12T06:38:52+05:45,2019-09-12T07:10:44+05:45
controller to reset password,SURVEY MONKEY,Steve Jobs,1:03:20,06:00pm September 11th - 07:03pm September 11th,3800,2019-09-11T18:00:30+05:45,2019-09-11T19:03:50+05:45
test merge request feature,SURVEY MONKEY,Steve Jobs,0:24:59,05:35pm September 11th - 06:00pm September 11th,1499,2019-09-11T17:35:31+05:45,2019-09-11T18:00:30+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:38:30,09:27am September 11th - 10:06am September 11th,2310,2019-09-11T09:27:54+05:45,2019-09-11T10:06:24+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:40:00,09:27am September 11th - 10:07am September 11th,2400,2019-09-11T09:27:54+05:45,2019-09-11T10:07:54+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:06:59,09:27am September 11th - 09:34am September 11th,419,2019-09-11T09:27:54+05:45,2019-09-11T09:34:53+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:01:59,09:27am September 11th - 09:29am September 11th,119,2019-09-11T09:27:54+05:45,2019-09-11T09:29:53+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:03:29,09:27am September 11th - 09:31am September 11th,209,2019-09-11T09:27:54+05:45,2019-09-11T09:31:23+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:04:29,09:27am September 11th - 09:32am September 11th,269,2019-09-11T09:27:54+05:45,2019-09-11T09:32:23+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:05:29,09:27am September 11th - 09:33am September 11th,329,2019-09-11T09:27:54+05:45,2019-09-11T09:33:23+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:41:30,09:27am September 11th - 10:09am September 11th,2490,2019-09-11T09:27:54+05:45,2019-09-11T10:09:24+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,3:40:44,09:27am September 11th - 01:08pm September 11th,13244,2019-09-11T09:27:54+05:45,2019-09-11T13:08:38+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:09:29,09:27am September 11th - 09:37am September 11th,569,2019-09-11T09:27:54+05:45,2019-09-11T09:37:23+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:08:29,09:27am September 11th - 09:36am September 11th,509,2019-09-11T09:27:54+05:45,2019-09-11T09:36:23+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:10:59,09:27am September 11th - 09:38am September 11th,659,2019-09-11T09:27:54+05:45,2019-09-11T09:38:53+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:35:30,09:27am September 11th - 10:03am September 11th,2130,2019-09-11T09:27:54+05:45,2019-09-11T10:03:24+05:45
report info incorrect,SURVEY MONKEY,Steve Jobs,0:37:30,09:27am September 11th - 10:05am September 11th,2250,2019-09-11T09:27:54+05:45,2019-09-11T10:05:24+05:45
sprint planning,SURVEY MONKEY,Steve Jobs,1:19:37,05:42pm September 10th - 07:02pm September 10th,4777,2019-09-10T17:42:39+05:45,2019-09-10T19:02:16+05:45
dismiss-notification,KAHOOT,Dan Abrahamov,0:33:35,04:12pm September 10th - 04:46pm September 10th,2015,2019-09-10T16:12:54+05:45,2019-09-10T16:46:29+05:45
leaderboard-back,KAHOOT,Dan Abrahamov,1:30:21,02:42pm September 10th - 04:12pm September 10th,5421,2019-09-10T14:42:33+05:45,2019-09-10T16:12:54+05:45
update position,KAHOOT,Dan Abrahamov,0:30:15,02:12pm September 10th - 02:42pm September 10th,1815,2019-09-10T14:12:18+05:45,2019-09-10T14:42:33+05:45
email report info incorrect,SURVEY MONKEY,Steve Jobs,3:00:05,12:28pm September 10th - 03:28pm September 10th,10805,2019-09-10T12:28:02+05:45,2019-09-10T15:28:07+05:45
save score position,KAHOOT,Dan Abrahamov,0:14:05,12:10pm September 10th - 12:24pm September 10th,845,2019-09-10T12:10:11+05:45,2019-09-10T12:24:16+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,1:03:24,11:24am September 10th - 12:28pm September 10th,3804,2019-09-10T11:24:38+05:45,2019-09-10T12:28:02+05:45
email report info incorrect,SURVEY MONKEY,Steve Jobs,0:08:23,11:16am September 10th - 11:24am September 10th,503,2019-09-10T11:16:15+05:45,2019-09-10T11:24:38+05:45
#749 List Component,SURVEY MONKEY,Sagun Karanjit,8:00:00,11:14am September 10th - 07:14pm September 10th,28800,2019-09-10T11:14:59+05:45,2019-09-10T19:14:59+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,1:00:24,10:15am September 10th - 11:16am September 10th,3624,2019-09-10T10:15:51+05:45,2019-09-10T11:16:15+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,0:27:15,08:31am September 10th - 08:58am September 10th,1635,2019-09-10T08:31:19+05:45,2019-09-10T08:58:34+05:45
count wins,KAHOOT,Dan Abrahamov,2:42:30,08:24am September 10th - 11:07am September 10th,9750,2019-09-10T08:24:42+05:45,2019-09-10T11:07:12+05:45
add contact person,SURVEY MONKEY,Steve Jobs,0:30:13,08:01am September 10th - 08:31am September 10th,1813,2019-09-10T08:01:05+05:45,2019-09-10T08:31:18+05:45
survey template question answer rearrange,SURVEY MONKEY,Steve Jobs,2:15:54,05:45am September 10th - 08:01am September 10th,8154,2019-09-10T05:45:09+05:45,2019-09-10T08:01:03+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:22:12,05:22am September 10th - 05:45am September 10th,1332,2019-09-10T05:22:56+05:45,2019-09-10T05:45:08+05:45
,SURVEY MONKEY,Sagun Karanjit,4:44:00,07:15pm September 9th - 11:59pm September 9th,17040,2019-09-09T19:15:46+05:45,2019-09-09T23:59:46+05:45
backlog grooming meeting,SURVEY MONKEY,Steve Jobs,0:34:56,06:32pm September 9th - 07:07pm September 9th,2096,2019-09-09T18:32:09+05:45,2019-09-09T19:07:05+05:45
prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,2:00:14,04:31pm September 9th - 06:32pm September 9th,7214,2019-09-09T16:31:55+05:45,2019-09-09T18:32:09+05:45
Menu fix : Dropdown menu issue,SURVEY MONKEY,Mausam Khanal,0:47:12,03:55pm September 9th - 04:42pm September 9th,2832,2019-09-09T15:55:39+05:45,2019-09-09T16:42:51+05:45
Menu fix : Dropdown menu issue,SURVEY MONKEY,Mausam Khanal,0:30:11,03:25pm September 9th - 03:55pm September 9th,1811,2019-09-09T15:25:27+05:45,2019-09-09T15:55:38+05:45
prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,1:00:13,10:15am September 9th - 11:15am September 9th,3613,2019-09-09T10:15:40+05:45,2019-09-09T11:15:53+05:45
save new fields,GS Automation,Prakash Sharma,33:35:52,10:01am September 9th - 07:37pm September 10th,120952,2019-09-09T10:01:48+05:45,2019-09-10T19:37:40+05:45
# List Component,SURVEY MONKEY,Sagun Karanjit,3:00:00,08:16pm September 8th - 11:16pm September 8th,10800,2019-09-08T20:16:42+05:45,2019-09-08T23:16:42+05:45
upload to heroku,SURVEY MONKEY,Steve Jobs,1:02:23,08:50pm September 7th - 09:53pm September 7th,3743,2019-09-07T20:50:53+05:45,2019-09-07T21:53:16+05:45
prepare doc with api reference,SURVEY MONKEY,Steve Jobs,0:07:40,06:03pm September 7th - 06:10pm September 7th,460,2019-09-07T18:03:14+05:45,2019-09-07T18:10:54+05:45
prepare doc with api reference,SURVEY MONKEY,Steve Jobs,0:14:57,04:50pm September 7th - 05:05pm September 7th,897,2019-09-07T16:50:39+05:45,2019-09-07T17:05:36+05:45
prepare doc with api reference,SURVEY MONKEY,Steve Jobs,0:06:36,04:32pm September 7th - 04:39pm September 7th,396,2019-09-07T16:32:40+05:45,2019-09-07T16:39:16+05:45
Prepare for backlog grooming,SURVEY MONKEY,Steve Jobs,1:44:22,02:48pm September 7th - 04:32pm September 7th,6262,2019-09-07T14:48:17+05:45,2019-09-07T16:32:39+05:45
list component for Business Users,SURVEY MONKEY,Steve Jobs,0:33:01,02:06pm September 7th - 02:39pm September 7th,1981,2019-09-07T14:06:13+05:45,2019-09-07T14:39:14+05:45
list component - Business Users,SURVEY MONKEY,Steve Jobs,0:00:20,02:05pm September 7th - 02:06pm September 7th,20,2019-09-07T14:05:53+05:45,2019-09-07T14:06:13+05:45
list component - Issued Rewards,SURVEY MONKEY,Steve Jobs,1:39:07,12:25pm September 7th - 02:04pm September 7th,5947,2019-09-07T12:25:15+05:45,2019-09-07T14:04:22+05:45
list component - Issued Rewards,SURVEY MONKEY,Steve Jobs,0:00:27,10:51am September 7th - 10:51am September 7th,27,2019-09-07T10:51:20+05:45,2019-09-07T10:51:47+05:45
list component - Issued Rewards,SURVEY MONKEY,Steve Jobs,0:36:08,09:59am September 7th - 10:35am September 7th,2168,2019-09-07T09:59:24+05:45,2019-09-07T10:35:32+05:45
list component - Issued Rewards,SURVEY MONKEY,Steve Jobs,0:23:10,08:17pm September 6th - 08:40pm September 6th,1390,2019-09-06T20:17:11+05:45,2019-09-06T20:40:21+05:45
list component - Survey Participants,SURVEY MONKEY,Steve Jobs,0:11:33,08:05pm September 6th - 08:17pm September 6th,693,2019-09-06T20:05:37+05:45,2019-09-06T20:17:10+05:45
list component,SURVEY MONKEY,Steve Jobs,0:30:09,07:35pm September 6th - 08:05pm September 6th,1809,2019-09-06T19:35:28+05:45,2019-09-06T20:05:37+05:45
"As a super admin, I should be able to re-arrange Survey Template Questions",SURVEY MONKEY,Mausam Khanal,0:28:38,06:01pm September 6th - 06:29pm September 6th,1718,2019-09-06T18:01:05+05:45,2019-09-06T18:29:43+05:45
"As a super admin, I should be able to re-arrange Survey Template Questions",SURVEY MONKEY,Mausam Khanal,0:30:06,05:30pm September 6th - 06:01pm September 6th,1806,2019-09-06T17:30:59+05:45,2019-09-06T18:01:05+05:45
"As a super admin, I should be able to re-arrange Survey Template Questions",SURVEY MONKEY,Mausam Khanal,1:30:11,04:00pm September 6th - 05:30pm September 6th,5411,2019-09-06T16:00:48+05:45,2019-09-06T17:30:59+05:45
"As a super admin, I should be able to re-arrange Survey Template Questions",SURVEY MONKEY,Mausam Khanal,0:30:09,03:30pm September 6th - 04:00pm September 6th,1809,2019-09-06T15:30:39+05:45,2019-09-06T16:00:48+05:45
form objects for multiple source update,GS Automation,Prakash Sharma,12:37:32,10:15am September 6th - 10:52pm September 6th,45452,2019-09-06T10:15:12+05:45,2019-09-06T22:52:44+05:45
list component,SURVEY MONKEY,Steve Jobs,6:00:05,10:13am September 6th - 04:13pm September 6th,21605,2019-09-06T10:13:05+05:45,2019-09-06T16:13:10+05:45
Plan Tasks,GS Automation,Prakash Sharma,0:05:38,10:09am September 6th - 10:15am September 6th,338,2019-09-06T10:09:31+05:45,2019-09-06T10:15:09+05:45
The selected template bar when adding survey templates to a custom survey looks very wonky,SURVEY MONKEY,Mausam Khanal,0:00:07,05:57pm September 5th - 05:58pm September 5th,7,2019-09-05T17:57:58+05:45,2019-09-05T17:58:05+05:45
The selected template bar when adding survey templates to a custom survey looks very wonky,SURVEY MONKEY,Mausam Khanal,1:00:11,04:57pm September 5th - 05:57pm September 5th,3611,2019-09-05T16:57:47+05:45,2019-09-05T17:57:58+05:45
social links,SURVEY MONKEY,Mausam Khanal,0:58:31,11:51am September 5th - 12:50pm September 5th,3511,2019-09-05T11:51:35+05:45,2019-09-05T12:50:06+05:45
social links,SURVEY MONKEY,Mausam Khanal,0:30:12,11:21am September 5th - 11:51am September 5th,1812,2019-09-05T11:21:23+05:45,2019-09-05T11:51:35+05:45
fix db,GS Automation,Prakash Sharma,12:33:00,10:22am September 5th - 10:55pm September 5th,45180,2019-09-05T10:22:32+05:45,2019-09-05T22:55:32+05:45
As a player I should know how many games I have won (wins),KAHOOT,Prakash Sharma,0:10:10,10:18am September 5th - 10:28am September 5th,610,2019-09-05T10:18:41+05:45,2019-09-05T10:28:51+05:45
list component,SURVEY MONKEY,Steve Jobs,4:00:07,10:15am September 5th - 02:16pm September 5th,14407,2019-09-05T10:15:53+05:45,2019-09-05T14:16:00+05:45
standup,SURVEY MONKEY,Steve Jobs,0:04:17,07:44pm September 4th - 07:49pm September 4th,257,2019-09-04T19:44:51+05:45,2019-09-04T19:49:08+05:45
deploy to staging,SURVEY MONKEY,Steve Jobs,0:02:15,07:42pm September 4th - 07:44pm September 4th,135,2019-09-04T19:42:36+05:45,2019-09-04T19:44:51+05:45
As a player I should know how many games I have won (wins),KAHOOT,Prakash Sharma,0:00:17,07:09pm September 4th - 07:09pm September 4th,17,2019-09-04T19:09:37+05:45,2019-09-04T19:09:54+05:45
As a player I should know how many games I have won (wins),KAHOOT,Prakash Sharma,0:17:56,06:51pm September 4th - 07:09pm September 4th,1076,2019-09-04T18:51:39+05:45,2019-09-04T19:09:35+05:45
As a player I should know how many games I have won (wins),KAHOOT,Prakash Sharma,0:50:41,06:00pm September 4th - 06:51pm September 4th,3041,2019-09-04T18:00:21+05:45,2019-09-04T18:51:02+05:45
deploy to staging,SURVEY MONKEY,Steve Jobs,1:30:05,12:15pm September 4th - 01:45pm September 4th,5405,2019-09-04T12:15:18+05:45,2019-09-04T13:45:23+05:45
fix number component,SURVEY MONKEY,Steve Jobs,2:19:03,09:56am September 4th - 12:15pm September 4th,8343,2019-09-04T09:56:15+05:45,2019-09-04T12:15:18+05:45
list component,SURVEY MONKEY,Steve Jobs,0:00:08,09:56am September 4th - 09:56am September 4th,8,2019-09-04T09:56:06+05:45,2019-09-04T09:56:14+05:45
pdf field mapping,GS Automation,Prakash Sharma,2:55:45,04:22am September 4th - 07:18am September 4th,10545,2019-09-04T04:22:24+05:45,2019-09-04T07:18:09+05:45
#735 Add Contact Name and Contact Email address to Business Table,SURVEY MONKEY,Sagun Karanjit,1:00:00,08:09pm September 3rd - 09:09pm September 3rd,3600,2019-09-03T20:09:37+05:45,2019-09-03T21:09:37+05:45
sprint planning meeting,KAHOOT,Steve Jobs,1:00:06,05:48pm September 3rd - 06:48pm September 3rd,3606,2019-09-03T17:48:39+05:45,2019-09-03T18:48:45+05:45
social links,SURVEY MONKEY,Mausam Khanal,0:55:33,05:30pm September 3rd - 06:26pm September 3rd,3333,2019-09-03T17:30:27+05:45,2019-09-03T18:26:00+05:45
mobile menu drop shadow and dropdown,SURVEY MONKEY,Mausam Khanal,0:15:41,05:14pm September 3rd - 05:30pm September 3rd,941,2019-09-03T17:14:43+05:45,2019-09-03T17:30:24+05:45
mobile menu drop shadow and dropdown,SURVEY MONKEY,Mausam Khanal,1:00:04,04:14pm September 3rd - 05:14pm September 3rd,3604,2019-09-03T16:14:39+05:45,2019-09-03T17:14:43+05:45
fix merge conflict in number component,SURVEY MONKEY,Steve Jobs,1:30:06,12:58pm September 3rd - 02:28pm September 3rd,5406,2019-09-03T12:58:02+05:45,2019-09-03T14:28:08+05:45
merge requests,SURVEY MONKEY,Steve Jobs,0:30:12,12:27pm September 3rd - 12:58pm September 3rd,1812,2019-09-03T12:27:50+05:45,2019-09-03T12:58:02+05:45
find issue with survey templates not saving labels,SURVEY MONKEY,Steve Jobs,1:30:12,10:57am September 3rd - 12:27pm September 3rd,5412,2019-09-03T10:57:38+05:45,2019-09-03T12:27:50+05:45
review merge requests,SURVEY MONKEY,Steve Jobs,0:02:22,10:42am September 3rd - 10:44am September 3rd,142,2019-09-03T10:42:08+05:45,2019-09-03T10:44:30+05:45
prepare for sprint planning,KAHOOT,Steve Jobs,0:00:02,10:42am September 3rd - 10:42am September 3rd,2,2019-09-03T10:42:04+05:45,2019-09-03T10:42:06+05:45
mapping fields,GS Automation,Prakash Sharma,17:57:08,10:25am September 3rd - 04:22am September 4th,64628,2019-09-03T10:25:15+05:45,2019-09-04T04:22:23+05:45
prepare for sprint planning,KAHOOT,Steve Jobs,0:38:01,10:04am September 3rd - 10:42am September 3rd,2281,2019-09-03T10:04:02+05:45,2019-09-03T10:42:03+05:45
#735 Add Contact Name and Contact Email address to Business Table,SURVEY MONKEY,Sagun Karanjit,2:00:00,08:07pm September 2nd - 10:07pm September 2nd,7200,2019-09-02T20:07:43+05:45,2019-09-02T22:07:43+05:45
backlog grooming,KAHOOT,Steve Jobs,1:19:34,05:46pm September 2nd - 07:05pm September 2nd,4774,2019-09-02T17:46:04+05:45,2019-09-02T19:05:38+05:45
"Update terms and condition page with this address:. PO Box: 490573, Everett MA 02149,",SURVEY MONKEY,Mausam Khanal,0:15:51,05:14pm September 2nd - 05:30pm September 2nd,951,2019-09-02T17:14:37+05:45,2019-09-02T17:30:28+05:45
add help links,KAHOOT,Prakash Sharma,16:25:45,04:46pm September 2nd - 09:12am September 3rd,59145,2019-09-02T16:46:32+05:45,2019-09-03T09:12:17+05:45
"Update terms and condition page with this address:. PO Box: 490573, Everett MA 02149,",SURVEY MONKEY,Mausam Khanal,0:30:11,04:44pm September 2nd - 05:14pm September 2nd,1811,2019-09-02T16:44:26+05:45,2019-09-02T17:14:37+05:45
As a survey user I should be shown error / not found page when custom survey with provided token is not found.,SURVEY MONKEY,Mausam Khanal,1:03:28,03:38pm September 2nd - 04:41pm September 2nd,3808,2019-09-02T15:38:02+05:45,2019-09-02T16:41:30+05:45
As a survey user I should be shown error / not found page when custom survey with provided token is not found.,SURVEY MONKEY,Mausam Khanal,1:49:17,01:42pm September 2nd - 03:32pm September 2nd,6557,2019-09-02T13:42:43+05:45,2019-09-02T15:32:00+05:45
